titulo,idioma,subtitulos,ano,duracion_minutos,categorias,sinopsis,tipo,link
Donald Brittain: Filmmaker,English,No contiene subtitulos,1995,94,"Documentary, Biography","Delve into the captivating world of a renowned documentary filmmaker, exploring his masterpieces and the boundless passion that fueled his artistry.",Pelicula,https://filmzie.com/content/donald-brittain-filmmaker
Knightesses of the Zodiaque,French,English (embedded),2020,25,"Drama, Comedy, Short, European Production","Planetary alignment. Convergence of the struggles. Emerald, Jasmine and Indra predict the future of the lost souls on Psychic TV, one of the most secluded TV channel. Love,
work, luck, they bring support to all the people that society hurt. When Emerald receive a phone call from Christelle, a harassement victim who is convinced to be cursed, her own destiny swings.",Pelicula,https://filmzie.com/content/knightesses-of-the-zodiaque-2020
Night at the Hotel,Spanish,"English, Portuguese",2019,71,"Horror, Documentary","Two paranormal investigators filmed their overnight stay at an abandoned hotel in the forests of Galicia, Spain. They were attacked by unexplained forces. This documentary shows what happened with real footage and interviews by the investigation team.",Pelicula,https://filmzie.com/content/night-at-the-hotel-2019
The Frame,English,English,2014,127,"Sci-Fi, Drama","Alex, a meticulous cargo thief for a dangerous cartel, and Sam, a driven paramedic fleeing her past, have their lives unexpectedly intertwined.",Pelicula,https://filmzie.com/content/the-frame-2014
Lejos de Casa Éxodo Venezolano,Spanish,English,2020,87,"Drama, History","Samuel, a young Venezuelan, emigrates from his country in search of a better life and to help his family, without knowing the difficult situations that he will face as an immigrant.",Pelicula,https://filmzie.com/content/lejos-de-casa-exodo-venezolano-2020
Two Men by the Sea,Portuguese,English,2020,16,"Drama, Short","After leaving Brazil, César meets Martin at an empty cafe in Tallinn, Estonia. In front of them, the uncertain infinity of the sea.",Pelicula,https://filmzie.com/content/two-men-by-the-sea-2020
Your Eyes on Me,English,English,2020,79,Drama,"""Your Eyes on Me"" is a story about a drag queen named Gloria whose life changes when she meets Kandi, a drag virgin auditioning for her next show. As the bond develops between the two, their relationship takes an unexpected turn.",Pelicula,https://filmzie.com/content/your-eyes-on-me-2020
Last Days,German,English (embedded),2019,30,"Short, Drama","Amidst the consumer world, four teens navigate the final school days in a shopping mall, seeking identity. ""Last Days"" labels echo their apocalyptic fear, lust for life, and the need for something new.",Pelicula,https://filmzie.com/content/last-days-2019
Rise of the Scarecrows: Hell on Earth,English,English,2021,84,Horror,A young writer returns to his hometown and soon discovers the dark secret that has been hidden for years. The Scarecrows have risen and they are raising hell.,Pelicula,https://filmzie.com/content/rise-of-the-scarecrows-hell-on-earth-2021
Stunt Games,Spanish,English (embedded),2010,76,Action,"Adan & Samuel, twin brothers who dream of success as cinema stunt men, become entangled with mafia after accepting an obscure assignment. Now, they are in for the fight of their lives. And this time, it's real.",Pelicula,https://filmzie.com/content/stunt-games-2010
