titulo,idioma,subtitulos,ano,duracion_minutos,categorias,sinopsis,tipo,link
Cherry,English,English,2010,99 min,"Comedy, Drama","An Ivy League freshman discovers unexpected lessons as he falls for an older woman, while her 14-year-old daughter develops a crush on him.",Pelicula,https://filmzie.com/content/cherry-2010
The Blackwell Ghost 1,English,English,2017,59 min,"Horror, Mystery",Embark on a thrilling journey as a journalist ventures to substantiate the existence of ghosts through a captivating adventure.,Pelicula,https://filmzie.com/content/the-blackwell-ghost-1-2017
3 Cents a Kilo,Chinese,English,2021,23 min,"Documentary, Short","3 Cents A Kilo documents the day-to-day lives of three cardboard collectors. It takes us through their routines and ruminations, showing us how they meet unremitting hardship with grit, humour, and back-breaking hard work.",Pelicula,https://filmzie.com/content/3-cents-a-kilo-2021
A Living Dog,English,"German, English, Spanish, Chinese",2019,94 min,"Action, Sci-Fi",Join a wounded deserter and a determined female resistance fighter as they unite against superior machines in a war for survival. Don't miss this epic battle for humanity.,Pelicula,https://filmzie.com/content/a-living-dog-2019
Jango on Tour,Swedish,"German, English",2011,78 min,Comedy,"A worthless movie director, the singer-songwriter, the soccer geek, and their drunk furry fox mascot hit the roads on a deemed-to-fail money tour to accomplish their brainless dreams of stardom. What can possibly go wrong? Hit it.",Pelicula,https://filmzie.com/content/jango-on-tour-2011
Runaway Slave,English,English,2012,111 min,"Documentary, History","Rev. C.L. Bryant presents a powerful exploration of the U.S. welfare system, exposing its impact on African-Americans. Discover the path to restoring true freedom in this insightful documentary.",Pelicula,https://filmzie.com/content/runaway-slave-2012
2101,English,"Czech, German, Modern Greek (1453-), English, Spanish, Estonian, French, Croatian, Hungarian, Indonesian, Italian, Lithuanian, Latvian, Polish, Portuguese, Romanian, Russian, Slovak, Turkish, Ukrainian",2014,56 min,"Action, Adventure, Sci-Fi","In an abandoned facility, three friends find a device revealing the future. To protect it, they must master its power against potential threats.",Pelicula,https://filmzie.com/content/2101-2014
San Franpsycho,English,English,2006,105 min,"Horror, Thriller","San Francisco is plagued by a serial killer, taunting a reporter with cryptic letters after each murder. Two SFPD detectives pursue the psycho relentlessly, determined to stop the bloody carnage.",Pelicula,https://filmzie.com/content/san-franpsycho-2006
Orizaba's Peak,Spanish,English (embedded),2017,11 min,"Comedy, Short","In a cozy bistro, an increasingly heated discussion between two good buddies reveals their latent sexual prejudices, as one admits to feeling finally set free by a book he has just read, and the other mistakenly assumes that he is coming out of the closet!",Pelicula,https://filmzie.com/content/orizabas-peak-2017
Boys,Hebrew,"English, Hebrew",2020,13 min,"Drama, Short","17-year-old Nadav wants to serve in a combat unit, even though his mother does not approve. A surprising encounter with his coach changes his perspective.",Pelicula,https://filmzie.com/content/boys-2020
Robert Mitchum Is Dead,English,English (embedded),2013,91 min,"Drama, European Production","Unemployed actor Frankie embarks on a road trip in a stolen car, searching for his idol. Joined by his manager, they chase the elusive big break. A tale of talent, determination, and dreams.",Pelicula,https://filmzie.com/content/robert-mitchum-is-dead-2013
"Snow, Man",English,English,2011,48 min,"Documentary, Sport","Bevan Hall and Liam Ryan, two happy go lucky snowboarders from New Zealand venture to Czech Republic in search of new friends and experiences with their love of snowboarding being the only commonality with the local folks.",Pelicula,https://filmzie.com/content/snow-man-2011
A Cry in the Night,English,English,2021,88 min,"Horror, Western","Awakening to a chilling cry, campers find themselves stranded, facing the wrath of La Llorona in this gripping tale of terror.",Pelicula,https://filmzie.com/content/a-cry-in-the-night-2021
