titulo,idioma,subtitulos,ano,categorias,sinopsis,tipo,link
Chop Socky Boom,English,English,2012,Family,"Misfit Seattle actors audition for a local action kung fu webseries, “Final Zodiac Warrior.” Portraying the signs of Rat, Pig, Rabbit and Dragon, our heroes traverse the challenges of the indie filmmaking process, all the while battling their inner demons",Serie,https://filmzie.com/content/chop-socky-boom-2012
Without a Scalpel,English,English,2016,"Documentary, Short","Without a Scalpel offers captivating insights into regular people's dramatic journeys, saved by specialized doctors and cutting-edge procedures deep inside the body.",Serie,https://filmzie.com/content/without-a-scalpel-2016
The Foodie,English,English,2020,Documentary,"Embark on a delectable journey with ""The Foodie"" as host Liz Bramwell, a chef, oyster farmer, and Emmy Award Winner, explores the New England food industry. Join her in meeting farmers, fishermen, and talented chefs.",Serie,https://filmzie.com/content/the-foodie-2020
The Inflight Food Trip,English,English,2019,Documentary,"Join Nik Loukas, the airline food guru, on a global journey discovering what goes into the meals served at 35,000ft. Explore behind-the-scenes and unique airline food stories.",Serie,https://filmzie.com/content/the-inflight-food-trip-2019
Journey to a New Earth,English,English,2022,Documentary,"Journey to A New Earth chronicles a bold vision to rid the world’s oceans, lakes, and rivers of plastic pollution.",Serie,https://filmzie.com/content/journey-to-a-new-earth-2022
"Wow, I Never Knew That!",English,English,2011,History,"Discover the intriguing origins of everyday things in ""Wow I Never Knew That!"" This whimsical TV series uncovers fascinating facts and surprising truths behind familiar items, phrases, and habits.",Serie,https://filmzie.com/content/wow-i-never-knew-that-2011
C-Bar,English,English,2015,Western,"After a young girl's family is brutally murdered, the Barnett Gang sets out to hunt down the evil men who committed the crime. They would never expect the repercussions that would ensue.",Serie,https://filmzie.com/content/c-bar-2015
Scenic Nature: Seasons,English,None,2023,Documentary,"Relax with the Seasons of Nature in 4K UHD resolution ASMR video set to beautiful and calming music. Sit back, relax, and enjoy these calming, soothing, relaxing, and stress-reducing nature videos of mountains, rivers, forests, animals, and more!",Serie,https://filmzie.com/content/scenic-nature-seasons-2023
2nd Generation,English,English,2018,Drama,"Identity crisis is nothing new to anyone except when you're dealing with multiple identities. A coming of age story, set in today's harsh melting pot society, trying to draw the lines between racism, morals, love, friendship, and secrets.",Serie,https://filmzie.com/content/2nd-generation-2018
Slope Slap,English,English,2019,Reality TV,"Slope Slap is a big event close ended reality competition series that pits two teams against each other every week in a series of fun, sexy, snowy, sweaty, and outrageous physical competitions at the coolest mountain top party destination in the world!",Serie,https://filmzie.com/content/slope-slap-2019
The Paraseekers,English,English,2018,Reality TV,"Join the team investigating Corrados farm's haunted hay ride, exploring its rich history and apparitions in the most haunted place in New Jersey.",Serie,https://filmzie.com/content/the-paraseekers-2018
New Space Adventures,English,English,2020,Documentary,"New Space Adventures will closely explore several of the greatest mysteries in space. From planets and moons, to deep space, New Space Adventures will bring viewers further than ever before into the great unknown. New information, along with interviews from experts, will both entertain and amaze. What discoveries are new in space? New Space Adventures will answer this question and many more.",Serie,https://filmzie.com/content/new-space-adventures-2020
Close Quarter Battle,English,None,2012,"Documentary, European Production",U.S. Special Forces veteran Terry Schappert hosts the series that analyzes the operations of military and police units in urban combat scenarios.,Serie,https://filmzie.com/content/close-quarter-battle-2012
Desperate Hours,English,None,2016,"Reality TV, European Production","A sudden calamitous event, causing great loss of life, damage, or hardship, like a flood, a tornado, an airplane crash, or an earthquake. This is not only a documentary but a live account of dramatic events in real time. In this unique 13- part series you'll be an eyewitness to some of the greatest disasters of the last 100 years and you will have a rare opportunity to compare disasters across time and distance and decide which you think is the worst.",Serie,https://filmzie.com/content/desperate-hours-2016
Rescue Vet,English,English,2012,Reality TV,"In a brand new 13-part series, three American veterinary clinics open their doors and bring viewers inside their world of animal rescue.",Serie,https://filmzie.com/content/rescue-vet-2012
Bommi & Friends,English,English,2016,"Animation, Family","""Bommi & Friends"" follows young Bommi, who moves to a new town. Lonely, she escapes into her beloved pop-up book, ""Adventures In Dazzle Land,"" where its magic transports her to thrilling places.",Serie,https://filmzie.com/content/bommi--friends-2016
Galactic Blitz,English,English,2015,"Animation, Sci-Fi","Technology from alien ships that crashed on earth was planned for use in the ongoing war on terrorism. However, when the alien invaders appear, the mission changes to global defense of the planet.",Serie,https://filmzie.com/content/galactic-blitz-2015
